id,screen_name,name,created_at,full_text,heure,longueur_texte,nombre_mots_cle,Catégorie,Inconfort,Urgence,Sentiment
23,ML09119902,M L,2024-01-09 07:17:31+00:00,L’appli #monpilotageelec est toujours KO ce matin @ENGIEpartSAV @ENGIEpartFR,07:17:31,76,0,,,,
24,Divergents20,Divergent,2024-01-09 12:19:53+00:00,"Le foutage de gueule de @ENGIEpartFR, pour une maison de 96 m carré où on vit à 4 en pleine période de froid (normal pour la saison)... Ah il n'y pas de risques qu'il me file la prime... https://t.co/82wgcsSMsv",12:19:53,210,1,Problèmes de facturation,90.0,True,Négatif
25,prisspriss12,Missoussipi78,2024-01-10 19:09:32+00:00,"@ninie949378 @78190trappes @CDC_Habitat @villedetrappes @ENGIEproFR @CDCH_et_Moi @alirabeh En panne de chauffage et d'eau chaude avec @CDCH_et_Moi @ENGIEpartFR  Malgré des installations soi-disant neuves, rien ne fonctionne. #Incompétence #ProblèmesTechniques",19:09:32,259,2,Problèmes avec l’application,80.0,False,Négatif
26,LeMalth,Le Malth’,2024-01-11 18:28:37+00:00,"@ENGIEpartFR \nbonsoir, serait-il possible d’avoir un contact? 10 jours pour avoir un rdv avec un technicien…une 🏠 à 16 degrés avec pompe à chaleur et 🏠 neuve,5 interventions,tjr pareil,ça devient insupportable sans compter le service client inutile et la facture edf salée 😤",18:28:37,275,1,Service client injoignable,90.0,False,Négatif
27,Damien4118,🇫🇷 Damien 🇫🇷,2024-01-12 07:37:30+00:00,"Bon à savoir : lorsqu @ENGIEpartFR intervient chez vous pour un changement de pièce banal, vous pouvez vous retrouver ensuite sans chauffage. On vous proposera ensuite un rdv dans 3 jours pour venir voir ce qui se passe",07:37:30,219,0,Problèmes de facturation,90.0,True,Négatif
28,MerlinPainpin,Alexus,2024-01-12 10:09:53+00:00,Le plus gros suspense de l’année 😳\n@ENGIEpartFR https://t.co/cWJpcKmTrN,10:09:53,72,0,Problèmes de facturation,90.0,True,Négatif
29,david_yoteau,David Yoteau,2024-01-12 10:21:17+00:00,"@ENGIEpartSAV bonjour,\nPlus de courant sur la commune de Saint hilaire de clisson. Une idée de ce qu'il se passe?",10:21:17,114,0,Problèmes de facturation,90.0,True,Négatif
30,med_energie,médiateur national de l'énergie,2024-01-12 11:06:59+00:00,"#vendrediCfini \nUne cliente d’@ENGIEpartFR a reçu un courrier de renouvellement de son offre de fourniture de gaz et d’électricité, sans mention des nouveaux prix de l'abonnement et du kWh. Il contient seulement 8 pages d' « annexe de prix » 1/4 👇 https://t.co/YFh7ZBXq2e",11:06:59,272,0,Service client injoignable,90.0,False,Négatif
31,y770_,petit coeur grenadine,2024-01-13 19:29:54+00:00,"@ENGIEgroup @ENGIEpartFR Pq vous mettez plusieurs jours pr envoyer qqun nous dépanner en plein hiver, en plus qqun qui vient qui n’a même pas la pièce qu’il faut on est sans eau chaude ni chauffage depuis 2 jours c’est inhumain de traiter les gens comme ça !!!!!!!!!!!!😡😡😡😡😡",19:29:54,274,2,Problèmes de facturation,90.0,True,Négatif
32,coupinesandrine,Sandriiiine,2024-01-14 19:24:56+00:00,@y770_ @ENGIEgroup @ENGIEpartFR Bienvenue au club. On attend toujours qu'ils nous recontactent...,19:24:56,97,0,,,,
33,FannyLepoivre,Fanny Lepoivre,2024-01-15 15:54:58+00:00,"48h que nous avons demandé une intervention d'urgence dans notre immeuble @ENGIEproFR @ENGIEpartFR Engie solutions Engie home services et toujours rien...pourtant l'eau coule en continu depuis 48h et plus personne n'a de chauffage, y compris nos aimés de 90 ans vivants seuls ...",15:54:58,279,2,Service client injoignable,90.0,False,Négatif
34,Qesakostan,Qesako I. 🇩🇪🇫🇷🇬🇧 🇪🇺 ◄🇺🇦◄🇷🇺◄ 🇨🇳,2024-01-16 08:18:21+00:00,@ENGIEpartFR POURQUOI ENGIE envoie plus mes factures par la poste⁉️\nJ'ai PAS VOULU leur Dématerialisation‼️,08:18:21,108,1,,,,
35,masy7723,Mamou Sy,2024-01-17 06:44:38+00:00,@CDCH_et_Moi @CDC_Habitat @ENGIEgroup Accepteriez vous cela pour votre famille ?,06:44:38,80,0,Pannes et urgences,100.0,True,Négatif
36,RVL42600,JMB,2024-01-17 11:20:30+00:00,"🤢 attention Engie rode ds nos quartiers. &lt;&lt; Engie &gt;&gt; , 🫷,&lt;&lt;GDF, je n'ai à vendre. Je vérifie vos contrats. Vous n'avez rien à faire. Juste à tel à Engie pour prendre le DUO gaz elec. &gt;&gt; 🫷à part ça vous n'avez rien à vendre !😡\n@EDFofficiel @LCP @UFCquechoisir\n@ENGIEpartFR",11:20:30,297,1,Problèmes de facturation,90.0,True,Négatif
37,eli_____sa,🇵🇸 Eli⁷ | A VU KIM SEOKJIN & HOBI,2024-01-17 11:23:05+00:00,"Dans un 60m2, avec un seul chauffage qui fonctionne 24h/24 et un autre uniquement la nuit. Une tv, un frigo, une machine à laver et une plaque induction. On est d'accord que c'est absolument pas normal d'avoir une facture de 300 balles ???💀💀💀\n@ENGIEpartFR faut me venir en aide https://t.co/2ltDHLiyJF",11:23:05,302,1,Problèmes avec l’application,80.0,False,Négatif
38,lazhonguoren,LZGR,2024-01-17 14:42:23+00:00,@ENGIEgroup bonjour pourquoi j’ai une option électricité verte sur un contrat de gaz ? \nÇa fait 24 mois que vous me facturez 3€ en plus sur un contrat de gaz… \nVolez-vous vos clients ? https://t.co/AR12s7NoE6,14:42:23,210,2,Service client injoignable,90.0,False,Négatif
39,Patrick_3164,PatrickC,2024-01-19 09:24:28+00:00,"@ENGIEpartSAV Bonjour @ENGIEpartFR ,  votre réponse est inadmissible . \nVous m'indiquez juste que vous pensez que le problème est pris en compte et vous nous communiquerez une date d'intervention.   \nIl neige en Picardie et ma mère est sans chauffage par votre faute 😱 bougez vous !",09:24:28,284,1,Pannes et urgences,100.0,True,Négatif
40,VilledieuDamien,Damien Villedieu,2024-01-20 13:40:48+00:00,@LaTribune Tu en penses quoi @ENGIEpartFR ? J'ai hâte de voir ma mensualisation baisser après avoir presque doublée cette année 🙃,13:40:48,129,0,Problèmes de facturation,90.0,True,Négatif
41,Khodexx,Khodex,2024-01-21 17:21:23+00:00,"@ENGIEpartFR vu que le contact semble globalement compliqué, j'en suis réduit à devoir essayer ici. Donc je récapitule : en décembre 2023 je constate une panne sur ma chaudière qui a été installée l'année dernière et que j'ai payée au prix fort. Celle-ci ne fonctionnait plus.",17:21:23,276,1,Problèmes de facturation,90.0,True,Négatif
42,ilxipa,T-,2024-01-21 17:30:40+00:00,"@ENGIEpartSAV bonjour, est-ce qu’il est possible de télécharger l’historique horaire de ses consommations d’électricité ? Je n’obtiens qu’un fichier avec les relevés mensuels alors que l’option du suivi horaire est activée.",17:30:40,223,0,Problèmes avec l’application,80.0,False,Négatif
43,annesoldx,Anne-So,2024-01-22 14:20:26+00:00,@ENGIEpartFR @ENGIEpartSAV faire une demande d’intervention urgente pour une chaudière qui a lâché depuis samedi matin et s’entendre dire que les plannings sont pleins par une personne très désagréable au téléphone c’est ça votre SAV ? Pour rappel une urgence = immédiat.,14:20:26,271,1,Délai d’intervention,95.0,True,Négatif
44,chcuny,Christophe CUNY,2024-01-23 18:55:11+00:00,"Je pense qu’il faut vraiment remercier le gouvernement et monsieur @BrunoLeMaire pour son doublé sur les nouveaux tarifs d’électricité.\n\nIl a quand même réussi l’exploit de faire plus augmenter les tarifs qui sont les plus intéressants pour @enedis  (les tarifs Tempo et HP/HC).\n\nExploit d’autant plus remarquable que le gaz est maintenant moins taxé que l’électricité alors que c’est une énergie fossile émettrice de CO2…\n\nUn champion comme ça, il faut absolument le garder @GabrielAttal !",18:55:11,496,0,Problèmes de facturation,90.0,True,Négatif
45,cyril77M,cyril28,2024-01-24 15:05:49+00:00,"@chcuny @BrunoLeMaire @enedis Et encore, mon gaz a fait +37%, malgré une diminution de ma consommation de 25% et une baisse du coût global par les fournisseurs. Faut que je regarde en détail mon contrat, je comprends pas non plus une tel augmentation @ENGIEpartFR !",15:05:49,265,2,Problèmes de facturation,90.0,True,Négatif
46,PaoLaVorny,Pao La Vorny,2024-01-24 22:42:50+00:00,Vous m’expliquez @ENGIEpartFR @ENGIEpartSAV ? Depuis octobre vous me rajoutez entre 20 et 30€ par mois discrètement… Mais je vous vois 👀\n#engie #electricite #arnaque https://t.co/QOaWVsdAZu,22:42:50,190,2,Problèmes de facturation,90.0,True,Négatif
47,Bennuts77,Ben&Nuts,2024-01-24 23:24:18+00:00,"@ENGIEpartFR Je passe de 122€ à 262€par mois, je dois payer 511€ de régulation, vous me faites payer une intervention d'un technicien jamais venu et a coté quand je vous contacte pour me dire qu'il y a un soucis personne se déplace? \nJ'ai 33m² les kheys pas 230 https://t.co/jsZ82Uh4Dc",23:24:18,286,2,Problèmes de facturation,90.0,True,Négatif
48,FeeKalome,La Fée Kalome,2024-01-25 09:19:23+00:00,"Bonjour @ENGIEpartFR , \nImpossible de se connecter sur l espace client de votre site. C est normal? J aimerais comprendre l aberration de ma facture.",09:19:23,150,0,Service client injoignable,90.0,False,Négatif
49,toundra69,Toundra🔺,2024-01-25 10:06:37+00:00,"@ENGIEpartSAV Bj, j'ai essayé de réglé son radiateur, il n'y a pas de mode d'emploi et j'ai pu enlever quelques pre-reglages, jai tout mis sur 15, il fait 17 degrés chez elle, je lui ai dit de tenir deux jours pour voir si ça change sa consommation journalière. D'ici lundi je vous contact, thx",10:06:37,294,2,Problèmes de facturation,90.0,True,Négatif
50,halimsidi,Thunder,2024-01-26 07:05:15+00:00,"@ENGIEpartSAV Bonjour,a quand un service client digne de ce nom?Cela fait maintenant 5 ans que j’ai un compteur linky et tous les ans je relance vos services car il n’est pas communiquant,dénier en date 12/23,et tjrs rien.Dites le si vous ne voulez rien faire",07:05:15,259,4,Service client injoignable,90.0,False,Négatif
51,Delelisma,M.A.,2024-01-26 12:58:44+00:00,"Cher @ENGIEpartSAV @ENGIEpartFR il m'a fallu +3ans avec les anciens proprio pour changer un compteur, des relances tous les mois et 3 rendez vous où vous n'êtes pas venu. Depuis ça fait 4mois que vous étudiez une facture erronée et vos ""conseillers"" ne disent jamais la même chose",12:58:44,280,4,Problèmes avec l’application,80.0,False,Négatif
52,mimine130071,mimine13007,2024-01-27 14:07:13+00:00,"@BiduleAnatheme @ENGIEpartSAV @dgccrf Bonjour @BiduleAnatheme , nous sommes dans le même cas que vous vis à vis des escrocs de l’agence Engie Home Services Grand Marseille. Contrat de maintenance annuelle payé mais non honoré sans compter les rendez vous maintenance ou dépannage annulés ! Courrier AR sans réponse",14:07:13,314,0,Service client injoignable,90.0,False,Négatif
53,LaBelleEnYeux,Eilahtan 🌸☀️🏝,2024-01-30 07:51:16+00:00,"Ça fait des mois qu’@ENGIEpartFR  me réclame 572,22€ sans me dire ce que c’est. Facture de septembre rien du tout de cette somme et facture de novembre ça apparaît en report de la facture précédente. Ça fait des mois et rien. Et ils  m’ont mis en recouvrement @ENGIEpartSAV",07:51:16,273,3,Problèmes de facturation,90.0,True,Négatif
54,manudscts,Manu,2024-01-30 12:09:47+00:00,@ENGIEpartFR me menace de me réduire l’électricité si je ne paye pas une facture de régularisation de 533€… je veux bien la payer mais ils ne veulent pas que je paye en 5X uniquement en 2X… \nIls sont méprisant et hautain. \nPourquoi refusent-il de m’aider.\n#engie,12:09:47,265,1,Problèmes de facturation,90.0,True,Négatif
55,williamvogel201,William Vogel,2024-01-31 06:14:04+00:00,@ENGIEpartFR Hello @ENGIEpartFR @Engie cela fait un moment que le suivi de conso est cassé.\nElec + Gaz.\nVous pouvez faire qqchose ? https://t.co/Imc5uxQByJ,06:14:04,157,1,Problèmes de facturation,90.0,True,Négatif
56,luberlu86,luciano,2024-01-31 10:37:10+00:00,"@ENGIEpartFR ENGIE, c'est aussi cette entreprise qui est capable de mettre en panne une chaudière chez une femme de 94 ans!... le pire étant, que les autorités judiciaire saisies, et la DGCCRF, se gardent bien de venir soutenir cette femme seule, à POITIERS!🤔pas touche ENGIE 👋",10:37:10,277,2,Problèmes de facturation,90.0,True,Négatif
57,LaurentCR314159,hyperboloïde DE REVOLUTION,2024-01-31 11:07:50+00:00,Mais pas ma facture\nEn 2020 je consommais 1694m3 et payais 1080€\nEn 2021 j'installé un poêle à bois\nEn 2023 j'ai consommé 1127m3(-33%)\nEt payé...1033€(-4%)\n@ENGIEpartFR  vs vs êtes foutu mes économies ds la poche! avec lesquelles je comptais acheter mon bois.\nQuel bon business! https://t.co/Pw67eKZY1w,11:07:50,308,1,Problèmes avec l’application,80.0,False,Négatif
58,KR1SD4RK,Kr1s D4rꓘ,2024-01-31 13:04:45+00:00,@ENGIEpartFR #FoutageDeGueule 🤬 https://t.co/DgrS1dR0Gm,13:04:45,55,0,Problèmes de facturation,90.0,True,Négatif
59,cathmacgregor,Catherine MacGregor,2024-01-31 17:05:15+00:00,"En passant de 1% à 31% d’#EnergiesRenouvelables dans le mix énergétique d’@ENGIEChile en 5 ans &amp; en annonçant notre sortie du charbon, @ENGIEgroup décarbone son activité &amp; accélére la #TransitionEnergétique.\n🎯Objectif 2026 : 60% d’#EnR dans notre mix 🇨🇱.\nhttps://t.co/pX4vMQVP5j",17:05:15,288,0,Problèmes de facturation,90.0,True,Négatif
60,Aury7667,Aury76,2024-01-31 17:17:08+00:00,@ENGIEpartFR @ENGIEgroup ⚠️⚠️⚠️⚠️⚠️⚠️J'appelle hier le service client pour un bug sur l'espace client au niveau du suivi conso. On devait me rappeler aujourd'hui.  Personne!!! Je rappelle le service expliquant à nouveau mon problème on me transfère une autre personne qui s'étonne,17:17:08,280,2,Service client injoignable,90.0,False,Négatif
61,vahe_thomas,Thomas Vahé,2024-02-01 10:51:40+00:00,"@ENGIEpartFR Bonjour, Impossible de me connecter à l'espace https://t.co/qRsnBOlwMu pour devenir client. Message d'erreur en PJ. Mon adresse IP est 5.149.182.50 Cdt https://t.co/k7hnzB0yzI",10:51:40,188,1,Service client injoignable,90.0,False,Négatif
62,cookinette33,cookinette only7,2024-02-01 14:19:47+00:00,"@ENGIEpartFR après avoir reçu mon rappel de charges de copropriété,je suis locataire, je vois 3500euros pour 90m3 d'eau chaude.appelant engie on me sors comme nous avons une chaudière pour le chauffage et l'eau et bien que le bouclier tarifaire ne s'appliquait que sur un seul🤬",14:19:47,277,0,Problèmes de facturation,90.0,True,Négatif
63,MavaMathias,Maëva✨,2024-02-02 14:49:33+00:00,@ENGIEpartSAV  2 mois que j’appelle pour un rendez-vous d’entretien d’une clim gainable … 2 mois que vos téléoperateurs me promènent !! Gros ras le bol ….,14:49:33,154,1,Problèmes de facturation,90.0,True,Négatif
64,hohotweet,sam,2024-02-02 17:45:18+00:00,"@ENGIEpartFR @ENGIEsolutions @ENGIEgroup j'ai un problème,  veuillez me le régler rapidement svp !!!",17:45:18,100,1,Problèmes de facturation,90.0,True,Négatif
65,cmonica75,Monica M,2024-02-03 14:39:39+00:00,"@ENGIEpartFR Cette #protectiondesdonnees est bafouée par vous en 1er. Depuis que  j’ai changé de fournisseur d’électricité, je reçois de multiples messages vocaux sur les économies d’électricité. Vous avez un avis?",14:39:39,214,1,Problèmes de facturation,90.0,True,Négatif
66,ZamDisney,Zam' Fox 🦊🌸,2024-02-05 09:29:59+00:00,"@ENGIEgroup @ENGIEpartFR c'est top de mettre une application pour suivre notre consommation, mais si on peut jamais y accéder car ça bug tout le temps... Aucun intérêt",09:29:59,167,0,Problèmes de facturation,90.0,True,Négatif
67,ledoublea2,Double-A.eth 🟢,2024-02-06 16:23:34+00:00,"À équipements et utilisation similaires depuis 3 ans, voici mes factures @ENGIEpartFR @ENGIEgroup sur les 3 dernières années :\n2021 : 1070€\n2022 : 1152€\n2023 : 1594€\n\nL'enculerie c'est jusqu'où ?",16:23:34,200,1,Problèmes de facturation,90.0,True,Négatif
68,Pomsca,Pomsca,2024-02-07 08:14:03+00:00,@ENGIEpartFR vous êtes sérieux là???\n\n+ 100€/mois d'augmentation sur ma facture d'électricité?? \nVOUS ÊTES SÉRIEUX LÀ???\nJ'AI FAIT x2 SUR MA FACTURE !!! 😡\n\nFaut m'expliquer le délire car ca va clairement pas être possible 😡,08:14:03,229,3,,,,
69,Brice561,Brice-56,2024-02-07 22:50:54+00:00,"Bon, il me semble que @ENGIEpartFR ont 1 soucis avec le suivi conso car, idem, mon père a eu une ENORME différence sur sa facture par rapport à sa conso donnée par le suivi.\nDonc quand on nous dit qu'on peut savoir sa conso en temps réel...",22:50:54,241,0,Problèmes avec l’application,80.0,False,Négatif
70,Xhlynk,CM 🐺,2024-02-08 07:34:02+00:00,"La regul d'électricité a 600€ pour un 40m2 en chauffant à même pas 18 degrés... ça va être super 2024, merci @ENGIEpartFR",07:34:02,121,1,Problèmes de facturation,90.0,True,Négatif
71,uncletonton,#Polémique Gratuite,2024-02-09 07:11:50+00:00,@ENGIEpartFR une simple question dans vos factures il y a les frais de la gestion de votre appli mobile et votre site internet pour connaître notre consommation ? Si oui vous me devez un gros geste commercial. Parce que sur les deux impossible de s'informer\n#Engie https://t.co/EYtCx6vu0G,07:11:50,289,0,Problèmes de facturation,90.0,True,Négatif
72,PhSanc,Papoo :),2024-02-09 19:47:47+00:00,"@ENGIEpartFR entre menteur et voleur. 3 mois pour que #engie m'explique qu'ils ont du augmenter mon abonnement gaz , sans me prévenir, de 30% ... a 334€/an on est loin des tarifs annoncés sur votre site .",19:47:47,204,1,Problèmes de facturation,90.0,True,Négatif
73,pene1086,Penny,2024-02-09 21:24:40+00:00,"@ENGIEpartFR vous jouez avec moi ou quoi c’est quoi ce bordel ? Reprenez vous vous allez pas nous voler comme ça, cest scandaleux! #engie #arnaques https://t.co/vRPKXt69PF",21:24:40,171,1,Problèmes avec l’application,80.0,False,Négatif
74,braindegeek,Braindegeek,2024-02-10 20:46:06+00:00,@JulienDoclot @ENGIEpartFR C'est pire ?!,20:46:06,40,0,,,,
75,CloBrgs,🦕,2024-02-11 21:49:58+00:00,Happ-e by @ENGIEpartFR qui me prélève deux fois sur un même compteur qu’ils étaient censé me clotûrer suite à LEUR erreur. Et qui répondent pas par le service client. Donc sur un même Linky j’ai deux factures HAPPE (qui devraient pas exister) + 1 engie. Ça va sinon ?,21:49:58,267,3,Service client injoignable,90.0,False,Négatif
76,lu_grandjean,Lu ☨,2024-02-12 10:28:06+00:00,"C'est marrant, on consomme moins mais @ENGIEpartFR augmente tellement ses tarifs que les mensualités augmentent quand même...\n+26€ par mois. Quel plaisir 👌 https://t.co/9uoktRUfSo",10:28:06,180,1,,,,
77,xcselina,Yllen,2024-02-13 11:32:58+00:00,"@AtlanticFrance @ENGIEpartFR @AtlanticFrance pendant ce temps là, nous avons un ballon en mode secours, qui consomme donc plus. A qui doit on s'adresser pour que ça bouge enfin ? Le manque de communication entre toutes les unités nous met dans une position dans laquelle nous n'avons rien demandé.",11:32:58,297,1,Problèmes de facturation,90.0,True,Négatif
78,gwaig,gwaig,2024-02-13 11:50:41+00:00,"@ENGIEpartSAV Bonjour, je l'ai déjà fait le 25 janvier, et je n'ai toujours pas reçu de réponse. D'ailleurs voici le numéro de ma réclamation DEM2401-62362811 .",11:50:41,160,2,Problèmes de facturation,90.0,True,Négatif
79,selimelamouri,💡 Sélim El Amouri,2024-02-13 17:14:49+00:00,"Super déçu du service d'@ENGIEpartFR censée revenir vers nous pour des travaux sur une chaudière, depuis une semaine... Résultat, pas de chauffage, pas d'eau chaude... la galère... https://t.co/ReEnNl11qV",17:14:49,204,3,Service client injoignable,90.0,False,Négatif
80,EmmFreezz,Emmanuelle,2024-02-14 09:11:26+00:00,"@ENGIEpartFR  vous faites des pubs TV, avec tout le topo commercial MAIS vous ne répondez pas à la question : le chauffage on allume , on baisse ou on éteint? Pareil pour le sèche-cheveux. Merci",09:11:26,194,1,Problèmes avec l’application,80.0,False,Négatif
81,GeoffreyTMX,Geoffrey TMX ن,2024-02-15 17:35:06+00:00,@ENGIEpartFR vous êtes des voleurs !\nCela ne vous dérange pas d'augmenter vos tarifs de presque 50% en période d'inflation ?\n\nJanvier 2023 : 360 € pour 2397 kWh\nJanvier 2024 : 677 € pour 2355 kWh\n\n@UFCquechoisir @med_energie @RolandLescure,17:35:06,245,1,Problèmes de facturation,90.0,True,Négatif
